ID,Открытие,Закрытие,Входов,Средняя цена,Цена выхода,Количество,PnL,Комиссия,Чистый PnL,Просадка %,Длительность
1,2024-03-05 19:15,2024-03-05 21:15,5,3488.18,3523.06,0.0718,2.50,0.30,2.20,4.8,2ч 0мин
2,2024-03-06 02:45,2024-03-06 03:30,1,3506.24,3541.30,0.0143,0.50,0.06,0.44,0.0,0ч 45мин
3,2024-03-06 13:00,2024-03-06 14:00,1,3816.22,3854.38,0.0131,0.50,0.06,0.44,0.1,1ч 0мин
4,2024-03-06 15:00,2024-03-06 15:30,1,3771.67,3809.39,0.0133,0.50,0.06,0.44,0.0,0ч 30мин
5,2024-03-07 01:00,2024-03-07 14:30,1,3803.42,3841.45,0.0132,0.50,0.06,0.44,1.2,13ч 30мин
6,2024-03-07 22:30,2024-03-08 00:15,1,3849.27,3887.76,0.0130,0.50,0.06,0.44,0.0,1ч 45мин
7,2024-03-08 15:45,2024-03-08 16:45,2,3863.32,3901.96,0.0260,1.00,0.12,0.88,1.8,1ч 0мин
8,2024-03-10 14:30,2024-03-10 16:15,1,3874.19,3912.93,0.0130,0.50,0.06,0.44,0.0,1ч 45мин
9,2024-03-10 22:30,2024-03-10 23:15,1,3831.83,3870.15,0.0131,0.50,0.06,0.44,0.1,0ч 45мин
10,2024-03-11 01:30,2024-03-11 02:00,1,3795.98,3833.94,0.0133,0.50,0.06,0.44,0.0,0ч 30мин
11,2024-03-12 08:00,2024-03-12 11:00,1,3986.40,4026.26,0.0126,0.50,0.06,0.44,0.2,3ч 0мин
12,2024-03-12 16:15,2024-03-12 17:30,2,3887.69,3926.57,0.0259,1.01,0.12,0.89,1.5,1ч 15мин
13,2024-03-13 13:30,2024-03-13 20:00,1,3983.00,4022.83,0.0127,0.51,0.06,0.44,0.6,6ч 30мин
14,2024-03-14 12:30,2024-03-14 14:15,2,3895.20,3934.16,0.0259,1.01,0.12,0.89,1.3,1ч 45мин
15,2024-03-14 18:45,2024-03-14 20:00,2,3778.20,3815.99,0.0267,1.01,0.12,0.89,1.7,1ч 15мин
16,2024-03-15 02:15,2024-03-15 07:30,5,3732.27,3769.59,0.0678,2.53,0.31,2.23,3.2,5ч 15мин
17,2024-03-15 08:30,2024-03-15 09:30,2,3655.18,3691.74,0.0277,1.01,0.12,0.89,2.3,1ч 0мин
18,2024-03-15 19:45,2024-03-15 22:15,2,3653.90,3690.44,0.0277,1.01,0.12,0.89,1.8,2ч 30мин
19,2024-03-16 11:15,2024-03-16 12:15,1,3672.44,3709.16,0.0138,0.51,0.06,0.45,0.0,1ч 0мин
20,2024-03-16 18:00,2024-03-17 00:15,4,3535.43,3570.78,0.0574,2.03,0.24,1.78,2.3,6ч 15мин
21,2024-03-17 06:30,2024-03-17 08:15,2,3459.40,3493.99,0.0293,1.01,0.12,0.89,1.5,1ч 45мин
22,2024-03-18 00:30,2024-03-18 04:45,1,3595.00,3630.95,0.0141,0.51,0.06,0.45,0.4,4ч 15мин
23,2024-03-18 09:45,2024-03-18 11:15,1,3564.23,3599.87,0.0143,0.51,0.06,0.45,0.2,1ч 30мин
24,2024-03-18 14:15,2024-03-18 21:15,2,3499.38,3534.38,0.0291,1.02,0.12,0.90,1.3,7ч 0мин
25,2024-03-19 00:45,2024-03-20 18:45,5,3369.60,3403.30,0.0756,2.55,0.31,2.24,8.7,1д 18ч 0мин
26,2024-03-21 05:00,2024-03-21 06:00,1,3481.20,3516.01,0.0147,0.51,0.06,0.45,0.3,1ч 0мин
27,2024-03-21 15:00,2024-03-21 17:00,1,3500.47,3535.47,0.0146,0.51,0.06,0.45,0.2,2ч 0мин
28,2024-03-21 18:00,2024-03-21 20:00,1,3438.00,3472.38,0.0149,0.51,0.06,0.45,0.7,2ч 0мин
29,2024-03-22 09:30,2024-03-23 14:30,5,3370.48,3404.19,0.0758,2.55,0.31,2.25,2.8,1д 5ч 0мин
30,2024-03-23 23:15,2024-03-24 12:00,1,3361.69,3395.31,0.0152,0.51,0.06,0.45,1.7,12ч 45мин
31,2024-03-26 14:15,2024-03-26 14:45,1,3566.38,3602.04,0.0144,0.51,0.06,0.45,0.0,0ч 30мин
32,2024-03-27 08:45,2024-03-27 10:30,1,3554.02,3589.56,0.0144,0.51,0.06,0.45,0.1,1ч 45мин
33,2024-03-27 13:45,2024-03-27 14:30,2,3532.25,3567.57,0.0291,1.03,0.12,0.90,1.4,0ч 45мин
34,2024-03-27 18:00,2024-03-27 21:00,1,3486.19,3521.05,0.0147,0.51,0.06,0.45,0.7,3ч 0мин
35,2024-03-29 07:45,2024-03-29 11:00,1,3522.38,3557.60,0.0146,0.51,0.06,0.45,0.0,3ч 15мин
36,2024-03-29 16:45,2024-03-29 22:30,1,3482.91,3517.74,0.0148,0.52,0.06,0.45,0.0,5ч 45мин
37,2024-04-01 05:30,2024-04-01 13:30,2,3537.21,3572.58,0.0291,1.03,0.12,0.91,1.7,8ч 0мин
38,2024-04-01 15:00,2024-04-01 21:15,1,3470.84,3505.55,0.0148,0.51,0.06,0.45,1.2,6ч 15мин
39,2024-04-02 02:15,2024-04-04 14:45,5,3355.68,3389.23,0.0768,2.58,0.31,2.27,3.4,2д 12ч 30мин
40,2024-04-04 20:00,2024-04-04 20:30,1,3303.81,3336.85,0.0156,0.52,0.06,0.45,0.0,0ч 30мин
41,2024-04-05 02:30,2024-04-05 03:15,1,3262.42,3295.04,0.0158,0.52,0.06,0.45,0.0,0ч 45мин
42,2024-04-05 11:45,2024-04-05 13:30,1,3242.54,3274.97,0.0159,0.52,0.06,0.45,0.1,1ч 45мин
43,2024-04-09 06:30,2024-04-11 07:00,5,3555.49,3591.04,0.0727,2.58,0.31,2.27,3.8,2д 0ч 30мин
44,2024-04-11 11:45,2024-04-11 12:30,1,3524.17,3559.41,0.0147,0.52,0.06,0.46,0.0,0ч 45мин
45,2024-04-11 14:45,2024-04-11 20:15,1,3494.73,3529.68,0.0148,0.52,0.06,0.45,0.1,5ч 30мин
46,2024-04-12 13:15,2024-05-20 19:30,5,3388.56,3422.44,0.0765,2.59,0.31,2.28,16.0,38д 6ч 15мин
47,2024-05-21 17:00,2024-05-21 22:00,1,3735.00,3772.35,0.0139,0.52,0.06,0.46,1.0,5ч 0мин
48,2024-05-22 04:30,2024-05-22 06:00,1,3738.39,3775.77,0.0139,0.52,0.06,0.46,0.0,1ч 30мин
49,2024-05-22 11:45,2024-05-22 14:15,1,3691.02,3727.93,0.0141,0.52,0.06,0.46,0.6,2ч 30мин
50,2024-05-23 13:00,2024-05-23 19:30,4,3766.08,3803.74,0.0552,2.08,0.25,1.83,1.9,6ч 30мин
51,2024-05-23 20:00,2024-05-23 20:15,1,3675.99,3712.75,0.0142,0.52,0.06,0.46,0.0,0ч 15мин
52,2024-05-23 23:30,2024-05-24 00:30,1,3755.21,3792.76,0.0139,0.52,0.06,0.46,0.0,1ч 0мин
53,2024-05-24 05:45,2024-05-24 14:30,2,3691.84,3728.76,0.0283,1.04,0.13,0.92,2.0,8ч 45мин
54,2024-05-27 19:45,2024-05-28 01:30,1,3874.65,3913.40,0.0135,0.52,0.06,0.46,0.0,5ч 45мин
55,2024-05-28 15:15,2024-05-29 04:15,1,3838.84,3877.23,0.0136,0.52,0.06,0.46,1.4,13ч 0мин
56,2024-05-29 08:00,2024-05-29 13:00,1,3795.91,3833.87,0.0138,0.52,0.06,0.46,0.0,5ч 0мин
57,2024-05-29 16:00,2024-05-29 21:45,1,3751.97,3789.49,0.0139,0.52,0.06,0.46,0.0,5ч 45мин
58,2024-05-30 08:00,2024-05-30 10:30,1,3703.13,3740.16,0.0141,0.52,0.06,0.46,0.0,2ч 30мин
59,2024-05-30 20:00,2024-05-31 01:00,1,3728.63,3765.92,0.0140,0.52,0.06,0.46,0.0,5ч 0мин
60,2024-05-31 14:30,2024-05-31 20:45,1,3765.03,3802.68,0.0139,0.52,0.06,0.46,1.0,6ч 15мин
61,2024-06-03 22:00,2024-06-04 15:15,1,3766.71,3804.38,0.0139,0.52,0.06,0.46,0.4,17ч 15мин
62,2024-06-06 19:45,2024-06-07 11:30,1,3792.16,3830.08,0.0138,0.52,0.06,0.46,0.3,15ч 45мин
63,2024-06-07 17:45,2024-06-09 21:45,2,3685.77,3722.63,0.0285,1.05,0.13,0.92,2.7,2д 4ч 0мин
64,2024-06-11 01:45,2024-06-12 12:30,5,3531.33,3566.64,0.0743,2.62,0.32,2.31,2.9,1д 10ч 45мин
65,2024-06-12 19:15,2024-06-14 06:45,3,3492.86,3527.79,0.0452,1.58,0.19,1.39,2.1,1д 11ч 30мин
66,2024-06-14 16:00,2024-06-14 21:15,1,3409.75,3443.85,0.0154,0.53,0.06,0.46,1.3,5ч 15мин
67,2024-06-17 06:00,2024-06-17 18:00,2,3527.80,3563.08,0.0299,1.05,0.13,0.93,1.7,12ч 0мин
68,2024-06-18 00:30,2024-06-18 05:00,3,3420.98,3455.19,0.0462,1.58,0.19,1.39,3.1,4ч 30мин
69,2024-06-18 12:15,2024-06-18 14:15,1,3385.81,3419.67,0.0156,0.53,0.06,0.46,0.0,2ч 0мин
70,2024-06-20 13:15,2024-06-21 20:00,2,3507.42,3542.50,0.0301,1.06,0.13,0.93,2.0,1д 6ч 45мин
71,2024-06-23 20:30,2024-06-25 03:00,5,3342.85,3376.27,0.0791,2.64,0.32,2.33,3.6,1д 6ч 30мин
72,2024-06-26 15:00,2024-06-26 19:30,1,3349.21,3382.70,0.0158,0.53,0.06,0.47,0.5,4ч 30мин
73,2024-06-28 14:45,2024-06-30 22:15,1,3411.12,3445.23,0.0155,0.53,0.06,0.46,1.6,2д 7ч 30мин
74,2024-07-01 22:15,2024-07-15 15:00,5,3341.99,3375.41,0.0793,2.65,0.32,2.33,15.2,13д 16ч 45мин
75,2024-07-16 06:30,2024-07-16 15:15,1,3410.99,3445.10,0.0156,0.53,0.06,0.47,1.7,8ч 45мин
76,2024-07-17 15:45,2024-07-18 12:30,1,3434.81,3469.16,0.0155,0.53,0.06,0.47,1.5,20ч 45мин
77,2024-07-18 15:00,2024-07-19 06:00,1,3405.71,3439.77,0.0156,0.53,0.06,0.47,0.5,15ч 0мин
78,2024-07-21 18:00,2024-07-21 18:15,1,3432.20,3466.52,0.0155,0.53,0.06,0.47,0.0,0ч 15мин
79,2024-07-22 06:30,2024-07-22 11:45,1,3466.01,3500.67,0.0154,0.53,0.06,0.47,0.0,5ч 15мин
80,2024-07-22 23:00,2024-07-23 00:45,1,3426.82,3461.09,0.0155,0.53,0.06,0.47,0.0,1ч 45мин
81,2024-07-23 13:30,2024-07-23 14:30,1,3453.40,3487.93,0.0154,0.53,0.06,0.47,0.4,1ч 0мин
82,2024-07-23 16:30,2024-07-23 19:00,1,3420.40,3454.60,0.0156,0.53,0.06,0.47,0.6,2ч 30мин
83,2024-07-24 15:15,2024-07-29 04:00,5,3330.19,3363.50,0.0801,2.67,0.32,2.35,6.9,4д 12ч 45мин
84,2024-07-29 14:00,2024-07-30 08:15,1,3319.15,3352.34,0.0161,0.53,0.06,0.47,1.6,18ч 15мин
85,2024-07-30 18:30,2024-07-31 06:00,1,3283.15,3315.98,0.0163,0.54,0.06,0.47,1.0,11ч 30мин
86,2024-07-31 19:30,2024-08-01 22:45,5,3185.77,3217.63,0.0841,2.68,0.32,2.36,3.3,1д 3ч 15мин
87,2024-08-02 02:15,2024-08-02 04:00,1,3142.95,3174.38,0.0171,0.54,0.06,0.47,0.0,1ч 45мин
88,2024-08-02 14:30,2024-11-09 05:45,5,3015.00,3045.15,0.0890,2.68,0.32,2.36,28.1,98д 15ч 15мин
89,2024-11-10 19:45,2024-11-10 21:45,2,3133.77,3165.10,0.0343,1.07,0.13,0.95,2.1,2ч 0мин
90,2024-11-11 05:15,2024-11-11 09:45,1,3147.93,3179.41,0.0171,0.54,0.06,0.47,0.6,4ч 30мин
91,2024-11-12 00:30,2024-11-12 00:45,1,3301.82,3334.84,0.0163,0.54,0.06,0.47,0.0,0ч 15мин
92,2024-11-12 10:15,2024-11-12 14:45,4,3261.05,3293.66,0.0660,2.15,0.26,1.89,1.7,4ч 30мин
93,2024-11-12 16:00,2024-11-12 16:30,1,3218.39,3250.57,0.0168,0.54,0.07,0.48,0.0,0ч 30мин
94,2024-11-13 00:00,2024-11-13 00:45,1,3236.41,3268.77,0.0167,0.54,0.07,0.48,0.0,0ч 45мин
95,2024-11-13 03:45,2024-11-13 13:30,2,3177.23,3209.00,0.0340,1.08,0.13,0.95,2.1,9ч 45мин
96,2024-11-13 19:00,2024-11-13 23:30,3,3162.98,3194.61,0.0512,1.62,0.20,1.42,1.8,4ч 30мин
97,2024-11-14 11:30,2024-11-14 16:30,3,3119.36,3150.55,0.0521,1.63,0.20,1.43,2.0,5ч 0мин
98,2024-11-14 20:00,2024-11-15 09:15,2,3074.52,3105.26,0.0352,1.08,0.13,0.95,1.6,13ч 15мин
99,2024-11-15 14:30,2024-11-15 21:15,1,3065.70,3096.36,0.0177,0.54,0.07,0.48,1.5,6ч 45мин
100,2024-11-16 23:30,2024-11-17 04:30,2,3095.97,3126.93,0.0350,1.08,0.13,0.95,2.8,5ч 0мин
101,2024-11-17 14:15,2024-11-17 17:30,1,3083.21,3114.04,0.0176,0.54,0.07,0.48,0.0,3ч 15мин
102,2024-11-18 11:30,2024-11-18 14:00,1,3063.94,3094.58,0.0177,0.54,0.07,0.48,0.2,2ч 30мин
103,2024-11-18 19:15,2024-11-18 20:15,1,3111.24,3142.35,0.0175,0.54,0.07,0.48,0.0,1ч 0мин
104,2024-11-19 01:45,2024-11-19 18:45,2,3114.75,3145.90,0.0349,1.09,0.13,0.96,2.0,17ч 0мин
105,2024-11-19 22:15,2024-11-19 23:15,1,3080.64,3111.45,0.0177,0.55,0.07,0.48,0.0,1ч 0мин
106,2024-11-20 16:15,2024-11-21 04:15,1,3083.94,3114.78,0.0176,0.54,0.07,0.48,1.5,12ч 0мин
107,2024-11-21 15:15,2024-11-21 16:00,1,3265.01,3297.66,0.0167,0.55,0.07,0.48,0.0,0ч 45мин
108,2024-11-22 00:45,2024-11-22 03:15,1,3319.32,3352.51,0.0164,0.54,0.07,0.48,0.0,2ч 30мин
109,2024-11-22 10:00,2024-11-23 00:15,2,3314.25,3347.40,0.0329,1.09,0.13,0.96,2.4,14ч 15мин
110,2024-11-23 16:15,2024-11-23 17:30,1,3403.57,3437.61,0.0160,0.54,0.07,0.48,0.0,1ч 15мин
111,2024-11-24 10:30,2024-11-24 23:30,2,3342.08,3375.50,0.0327,1.09,0.13,0.96,2.3,13ч 0мин
