ID,Открытие,Закрытие,Входов,Средняя цена,Цена выхода,Количество,PnL,Комиссия,Чистый PnL,Просадка %,Длительность
1,2022-03-06 23:00,2022-03-07 12:00,2,2522.96,2548.19,0.0396,1.00,0.12,0.88,1.2,13ч 0мин
2,2022-03-07 18:00,2022-03-07 22:00,3,2478.84,2503.63,0.0606,1.50,0.18,1.32,2.5,4ч 0мин
3,2022-03-08 16:00,2022-03-08 17:00,1,2538.35,2563.73,0.0197,0.50,0.06,0.44,0.0,1ч 0мин
4,2022-03-09 20:00,2022-03-09 22:00,1,2685.35,2712.20,0.0187,0.50,0.06,0.44,0.0,2ч 0мин
5,2022-03-10 01:00,2022-03-10 13:00,3,2618.47,2644.65,0.0574,1.50,0.18,1.32,2.3,12ч 0мин
6,2022-03-11 01:00,2022-03-11 06:00,1,2560.00,2585.60,0.0196,0.50,0.06,0.44,1.3,5ч 0мин
7,2022-03-11 15:00,2022-03-11 21:00,2,2553.34,2578.88,0.0394,1.01,0.12,0.88,1.9,6ч 0мин
8,2022-03-13 12:00,2022-03-13 13:00,1,2539.55,2564.95,0.0198,0.50,0.06,0.44,0.0,1ч 0мин
9,2022-03-13 22:00,2022-03-14 01:00,1,2503.60,2528.64,0.0201,0.50,0.06,0.44,0.0,3ч 0мин
10,2022-03-14 17:00,2022-03-14 22:00,1,2536.35,2561.71,0.0198,0.50,0.06,0.44,0.5,5ч 0мин
11,2022-03-15 07:00,2022-03-15 14:00,1,2530.95,2556.26,0.0199,0.50,0.06,0.44,0.6,7ч 0мин
12,2022-03-16 03:00,2022-03-16 08:00,1,2620.45,2646.65,0.0192,0.50,0.06,0.44,0.1,5ч 0мин
13,2022-03-20 11:00,2022-03-20 20:00,2,2855.90,2884.46,0.0353,1.01,0.12,0.89,2.1,9ч 0мин
14,2022-03-21 23:00,2022-03-22 02:00,1,2888.05,2916.93,0.0175,0.51,0.06,0.44,0.0,3ч 0мин
15,2022-03-23 01:00,2022-03-23 02:00,1,2956.95,2986.52,0.0171,0.51,0.06,0.44,0.0,1ч 0мин
16,2022-03-23 17:00,2022-03-23 21:00,1,2962.55,2992.18,0.0170,0.50,0.06,0.44,0.3,4ч 0мин
17,2022-03-25 16:00,2022-03-25 18:00,1,3094.30,3125.24,0.0163,0.50,0.06,0.44,0.0,2ч 0мин
18,2022-03-28 23:00,2022-03-29 00:00,1,3332.00,3365.32,0.0152,0.51,0.06,0.45,0.0,1ч 0мин
19,2022-03-29 21:00,2022-03-30 06:00,1,3374.80,3408.55,0.0150,0.51,0.06,0.45,0.8,9ч 0мин
20,2022-03-31 15:00,2022-04-01 12:00,4,3277.87,3310.65,0.0618,2.03,0.24,1.78,2.5,21ч 0мин
21,2022-04-03 01:00,2022-04-03 04:00,1,3438.10,3472.48,0.0147,0.51,0.06,0.44,0.2,3ч 0мин
22,2022-04-04 00:00,2022-04-04 03:00,1,3472.00,3506.72,0.0146,0.51,0.06,0.45,0.0,3ч 0мин
23,2022-04-04 15:00,2022-04-04 17:00,1,3421.65,3455.87,0.0148,0.51,0.06,0.45,0.0,2ч 0мин
24,2022-04-05 14:00,2024-02-28 16:00,5,3359.79,3393.39,0.0755,2.54,0.31,2.23,73.1,694д 2ч 0мин
25,2024-02-28 17:00,2024-02-28 22:00,2,3311.56,3344.68,0.0307,1.02,0.12,0.89,0.7,5ч 0мин
26,2024-02-29 16:00,2024-03-01 08:00,4,3370.08,3403.78,0.0604,2.04,0.25,1.79,1.8,16ч 0мин
27,2024-03-05 16:00,2024-03-06 04:00,5,3599.66,3635.65,0.0708,2.55,0.31,2.24,7.7,12ч 0мин
28,2024-03-06 14:00,2024-03-06 16:00,1,3784.76,3822.61,0.0135,0.51,0.06,0.45,0.0,2ч 0мин
29,2024-03-07 02:00,2024-03-07 14:00,1,3789.57,3827.47,0.0135,0.51,0.06,0.45,0.9,12ч 0мин
30,2024-03-08 22:00,2024-03-09 02:00,1,3879.60,3918.40,0.0132,0.51,0.06,0.45,0.0,4ч 0мин
31,2024-03-10 21:00,2024-03-10 23:00,2,3844.60,3883.05,0.0266,1.02,0.12,0.90,1.5,2ч 0мин
32,2024-03-12 08:00,2024-03-12 11:00,1,3988.60,4028.49,0.0128,0.51,0.06,0.45,0.0,3ч 0мин
33,2024-03-12 16:00,2024-03-12 18:00,2,3885.59,3924.45,0.0263,1.02,0.12,0.90,0.0,2ч 0мин
34,2024-03-13 13:00,2024-03-13 20:00,1,3980.40,4020.20,0.0129,0.51,0.06,0.45,0.4,7ч 0мин
35,2024-03-14 13:00,2024-03-14 14:00,1,3882.40,3921.22,0.0132,0.51,0.06,0.45,0.0,1ч 0мин
36,2024-03-14 18:00,2024-03-14 20:00,2,3778.21,3815.99,0.0271,1.02,0.12,0.90,0.7,2ч 0мин
37,2024-03-15 02:00,2024-03-15 06:00,2,3713.60,3750.73,0.0277,1.03,0.12,0.90,1.0,4ч 0мин
38,2024-03-15 08:00,2024-03-15 09:00,1,3664.69,3701.34,0.0140,0.51,0.06,0.45,0.0,1ч 0мин
